label	text_a	rule
0	AKo  je  rođo  od  onoga Glasnovića  sve  je   jasno , ne  može biti  jasnije  .Bolesno  i blesavo , a  iznad svega   primitivno  .	
0	Linda Moorer: Na ovakav članak, ti bez imalo pijeteta stavljaš te tvoje navlakuše od oglasa!!!?? Dobro šta je tebi? I na kraju krajeva, zašto bi tebi uopće bio interes da takvu informacijuo o tobožnjoj zaradi širiš i dijeliš? Ajde, vozi dalje i nađi članak o sponzorušama i posvudušama, pa se tamo nakalemi.	
0	Google sada plaća $ 17000 do $ 22000 mjesečno za rad na mreži od kuće. Pridružio sam se ovom poslu prije 2 mjeseca i zaradio sam $ 20544 u mOm prvom mjesecu od ovog posla. ............&gt;&gt;&gt;&gt;&gt; www.WebJob33.Com	1
0	Vlada RH, sta je to neka zajebancija? Vlada od mog kurca! Najobicniji guzoljupci.. puše briselski kurac za minimalac	1
0	"Ovo je najbolji posAO koji Google sada plaća. Dobio sam prvi mjesec od 27936 eura za rad 3 sata dnevno. Počeo sam prije četiri mjeseca i odmah sam kući odnio najmanje 7645 eura na 9264 eura tjedno.

----- >>>>> www.WebJob33.Com"	1
1	Smeće jedno, a kad si se smijao u sudnici na to sve... zaslužuje najgoru kaznu.. to mu je tatica rekao da kaže sigurno...	8
0	Žena izgleda ko da ju je roj pčela izboo.	
1	Ionak si ustaski licemjer..	8
1	Ovo je za lomaču,prodane duše,prodajte svoje ne Naše	8
0	Pazi molim te riješavao g. Đakić problem prijatelja kao zastupnik ? Zar nije on izabran da riješava probleme naroda RH bez obzira na stranačke boje ako nije tako neka se ostavi politike i Sabora ! Pošteno!	
1	novinari su naša najveća sramota i prečesto najveći neprijatelji, al pročitajte članak na koji se Lino poziva i vidjet ćete da nema vrijeđanja ni njega, ni obitelji... samo malo jača kritika što on kao javna osoba mora znati podnijeti	8
0	Zastupnik koji je pijan padao sa motora i vrijedjao policiju.	
1	Jedina pravedna kazna je: baciti njega 4 puta s prvog kata...ili može i 1 put s 4. kata (može birati)	3
0	"......sve nakon Win7....je nebuloza I poraz poslovnog OSa...Windowsi nakon sedmice slici na tablet za djecu, kao propagandni program za iznajmljivanje apartmana, ili propagandu sredstava za ciscenje sanitarnih prostorija.....sto se tice ukidanja podrske, podrska za Win7 I XP.   nije potrebno jer su ispravili sve bagove tako da so to OSovi savrseno sigurni I rade bezprijekorno.....nitko ih vise ne napada zlinamjernim programima sto je dodatna sigurnost.....osim toga na svaki kupljeni proizvod imate garanciju, te pravo da ga kiristite koliko hocete bez da vas proizvodjac gusi....podrska nije potrebna ali zabranjivati I ometati funkcioniranje takvih OSova je pokvareno I oko toga bi se trebalo pozabaviti preko zastite potrosaca......npr....ako u Xp imam migucnost bankarenja....nemoze meni banka onemoguciti poslovanje ako imam WIN10..i na taj nacin pidrzavati programske kriminalce.....banka nije stranka u postupku...da bi me u bilo cemu sputavala........
"	
0	Normalno. BiH nije nikakva država. Loš politički abortus.	
1	Tako je..smece od trenera u smecarskom klubu..	8
0	Macko, da.	
0	Volija bi vise da oni pobjede nego ona cehinja.	
0	A imaju navigaciju na mobitelu !	
0	eto, bolje da taj orjunaški pametnjaković radi nekaj dobrog umjesto da rovari protiv ove države!!!!	
0	Ma možemo mi pisati što hoćemo ali Maja uživa u životu  i zarađuje lovu o kojoj možemo sanjati ...I dobro joj je rekao čaća  Najskuplja subota je ona na kojoj nemaš gažu .....🙋🙋	
0	kaj ga briga...6 kvrgi za 17 milja...pa to mu je bolja plaća nego dok je bil premijer	
0	"Tu nema  komentara  kakav to čovjek moraš biti bolesno  bolesno
"	
1	A Nina Martina se slika sa prekriženim nogama da se ne vidi na slici koliku kantu jo&scaron; uvijek ima.	8
0	MOST je doveo ovog premijera na vlasti kao i Oreškovića prije njega! Licemjeri, zato ste i izgubili više od pola podrške a živi zid je od vas duplo jači koji vam je govorio tada da ne idete sa HDZ-om jer će vas prožvakat,iskoristit i ispljunut, točno to se dogodilo 2 puta u godinu i pol dana! Tada da su živi zid i MOST stvorili BLOK-koaliciju HDZ-u ovi bi tada morali sa SDP-om u veliku koaliciju, to bi trajalo godinu dana i obje stranke bi zbog izdaje birača izgubile 30% i više svojih glasača a Hrvatska bi danas imala vladu bez njih!	1
0	Koga briga?	
0	Google sada plaća $ 17000 do $ 22000 mjesečno za rad na mreži od kuće. Pridružio sam se ovom poslu prije 2 mjeseca i zaradio sAm $ 20544 u mom prvom mjesecu od ovog posla. ----&gt;&gt;&gt;&gt; www.WebJob33.Com	1
1	Srbići , muslići ....koja je razlika ?' Tko je tu dobar a tko loš ? U interesu RH. je postojanje R: Srpske jer bez nje imali bi muslimansko-pro-tursku BiH na granici ... Sve dok se oni 'zabavljaju' između sebe nama je OK.	8
1	Pa samo šabani i slušaju to...	8
0	Vjerojatno je uzoran i drag momak koji je pozdravljao susjede i bakicama pomagao prijeći ulicu.	
0	U Kanadi... U siječnju... Nositi kratku suknju? Hrabro u svakom slučaju! 	
0	Treba joj probit Kradezeovsku guzu	
0	Samo je jedna drzavotvorna stranka i samo je jedan otac domovine!	
0	Dva pametna se našla ....	1
1	Nazalost(ili na srecu) radin van hrvatske i u rodnom splitu san samo na lito za vrime godisnjeg odmora i za vrime bozica i nove godine kad cila firma ima slobodno. I od srednje skole se nisan kupa zimi(nesto sta san prije radia cesto) pa me sad zanima a ne mogu znat odgovor jer neman priliku, pa cu morati pitat “bracu” srbe. Naime, kakvo je more u februaru? ;)	8
0	"Google sada Plaća $ 17000 do $ 22000 mjesečno za rad na mreži od kuće. Pridružio sam se ovom poslu prije 2 mjeseca i zaradio sam 20544 dolara u prvom mjesecu od ovog posla. 

--------------->>>>> www.WebJob33.Com"	1
1	Njega za noge pa &ldquo;njezno&rdquo; pustiti s tog istog balkona...ponovlati postupak dok se smjesa ne opusti 😡😡	3
0	Lidija molim te ne moj pjevati, mislim lijepo pjevaš ali te gadno slušati radi ono što ti najbolje ide, a to je pokazuj tijelo	
0	Traktor i traktorska prikolica bila puna ?	
1	Odriču li se u korizmi pedofilije?	8
0	Eto a ti si došao na svijet ? 	
1	Tvoje je pravo da vjerujes i u govno koje pokakis	8
0	Koliko ce jos dana bit vijesti o tomu ?	
0	Joj daj dečki ne prenose već 10 godina...arena sport ima prava....i svaku tekmu ista pitanja...ne bude nikad na hrt-u sve dok ne otkupe prava...a od toga ništa iduće 3 godine	
0	na te naše nisam ni pomislio sam neznam kuda ih svrstati i dali uopšte postoji kategorija kuda ih svrstati	
0	He*ali vas Bleiburg, Jasenovac, partizani, ustase, fašizam, antifašizam,, uzvici i pozdravi,  U i petokraka,,,,NDH, Jugoslavija,,,,,,,,,,,, U Hrvatskoj je običnim ljudima koji žive od poštenog rada sve teže živjeti, a krimići, muljatori i lažovi niti mogu svi biti niti su svi rođeni i odgojeni za to. Sve nas je manje, što zbog odlazaka što zato što ne pravimo i rađamo djecu. Nestajemo i izumiremo kao narod. Za 200 g bit ćemo samo jedan od izumrlih i asimiliranih naroda! I neka budemo, kad drugo ni zaslužili nismo! Ako nam je glavna briga prošlost, a za budućnost nas zapravo nije ni briga onda osim da nas nema nismo ni zaslužili. 	
0	6200 kn? Pa ko u Hrvatskoj ima tolku placu? Opet vicevi. 	
0	Wannabe Klauški? 	1
0	Gledajući slike dobro da su žive.	
0	Žalosno je da imate 100 članka o Karleuši i Šabanu, a o Vorihu ste imali jedan jedini članak. 	1
0	Bombardirate clancima o svemu tome i sad pitate jel ljudi pretjeruju...	
1	Ha ha al sam razpizdio srpske četnike ha ha pa ovo je zakon. Ja ih caličem ko pse a oni samo reže i laju. Kako uživam kada malu ne budale suočim sa istinom.	8
0	Isus je gospodin i u njegovom stadu ima svakakvih ljudi ali i isto tako ljudi poput majke Tereze,Ivana Pavlu drugog,padre Pia....i njegovu kraljevstvu nikad nece biti kraja!	1
0	Znaš ono kad od recommended Youtube videa napraviš članak.	
0	Mene samo zanima zašto se mjesat u unutarstranačke stvari🤷‍♂️	1
0	kakvu imovinu može imati, kompjuter, mobitel i slično nije imovina, nego ako nešto ima na sebe. sumnjivo je ovo. čim policija pretražuje kompjuter i mobitel znači da sumnja na kazneno djelo, jer inače ne bi to radili. najčešći sumnjivci su unutar obitelji.	1
0	"Već znam i tko i što i zbog čega, ali imam već jedan žuti pa ću ostaviti da samo nagađate o čemu mislim. 8)

Dečko, oporavi se! "	
1	Ujedno i admina koji ce izbrisati komentar...	8
1	ma ti smradovi stalno po gasu bez rotirke.najbolji slucaj na slavonskoj prije easta veceri kolona koja vozi 50 na sat,a 2 gamadska murjaka na motoru izmedu auta po srednjoj liniji 90 na sat kroz cijelu kolonu i to bez kocenja i bez rotirke.misle da je cool glumiti facu,a sa tih 4000kn place nemaju ni za motor privatni pa zato se istrose na poslu utrkivajuci...	8
0	"Google sada plaća $ 17000 do $ 22000 mjesečno za rad na mreži od kuće. Pridružio sam se ovom poslu prije 2 mjeseca i zaradio sam $ 20544 u mom prvoM mjesecu od ovog posla.

---->>>> www.WebJob33.Com"	1
0	Nevjerojatno nisam vidio tvoj komentar,ali sam nešto u tom stilu komentirao.	
0	Upravo gledam na stranici  ŽZ di su Bandićevci zabranili novinarima ulazak na sjednicu iako je bilo najavljeno da će novinari prisustvovat. Član Ž je počeo snimat a zaštitari su fizički krenuli na njega ali se nisu htjeli identificirat, nakon toga njega su fizički zatočili u toj prostoriji, zaštitar ga je na silu držao a oi otišli u drugu dvoranu održat sjednicu. Nakon Pernarovog izbacivanja eto još HDZ-Bandić nasilne suradnje-totalno protuzakonito!	
0	I to kaže veliki radnik i ostane živ	
1	&Scaron;ta drugo i očekivat od dalmo&scaron;a, večinskih glasača HDZ partije, zatvoren um ko rektum čovjeka koji ima te&scaron;ku opstipaciju!	8
0	"Google sada plaća 17000 do 22000 dolara mjesečno za rad na mreži od kuće. Pridružio sam se ovom poslu prije 2 mjeseca i zaradio sam 20544 dolara u prvom mjesecu od ovog posla.

.......>>>> www.WebJob33.Com"	1
0	Ima jos dobrih dusa.Nisu svi cetnici i ustase.	
0	Imat će oni još veću podršku protiv Arsenala, Napolija.... Al me strah da će vrlo glatko izgubiti.... 	
1	Da sve su lazi,kao sto je Nikola tesla Hrvat,da je u jasnovcu bilo 10 hiljada zrtava,da hrvati nisu klali srbe i uz pomoc vatikana pokatolicio i pobio gomile srba,da hrvatska je postojala pre 200 godina.Posto pominjete vec ceo svet onda malo bolje procitajte svetsku literaturu mater vam jebem,izvestacen narod,kako je koja sila dolazila tako ste im se uvlacili u bulju,od austor-ugara preko nemaca i ostalih i vi onda dodjete i popujete nekome nesto :D,zato cemo vas jebati gde god da stignemo a po najvise kad vas posaljemo kuci u 1/4 finalu sa jeednim poenom razlike,to ni master card ne moze da plati hahah	6
0	Od sveg najvažnijeg je to da u polufinalu nema ni Dirka ni Reala ni Gaynalda.i točka.Bit ae uživancija gledat ove 44 ekipe bez gore navedenih.	1
0	"Google sada plaća $ 17000 do $ 22000 mjesečno za rad na mreži od kuće. Pridružio sam se ovom poslu prije 2 mjeseca i zaradio sam $ 20544 u mom prvom mjesecu od ovog posla.

---->>>>> www.WebJob33.Com"	1
0	I kladim se da je prava dobrica i da nikad nikome nista ne bi napravio.	
0	Čestitam! Meni ste bili preslatki a Tara posebno baš mi mila draga i lijepa cura.	
0	"Google sada plaća $ 17000 do $ 22000 mjesečno za rad na mreži od kuće. PRidružio sam se ovom poslu prije 2 mjeseca i zaradio sam 20544 dolara u prvom mjesecu od ovog posla.

=====>>>>>  www.WebJob33.Com"	1
1	&Scaron;tampa je srpska pa i vesti moramo čitati iz Srbije.... Kaj neee	8
0	Grdi nebuš još dugo kak si krenul...	
0	Hapsi svee	1
1	nabijem i njega i tebe na onu stvar	6
0	čitam  dva puta u  afričkoj državi Namibiji, Dragan Vujičin iz Srbije....dakle živio na drugoj strani svijeta i objavljeno puno ime i prezime i slika  pedofila.....a kod nas ni imena ni slike  zaštićeni su kao lički medvjedi  i u svemu tome  ako ih i osude  dobiju minimalne kazne......a na portalu nedao bog da napišemo što bi im napravili 😵😵	
0	Kod mene jutros padao .E baš ga ne volim . :-((	
0	Ti si bezveze, za razliku od ove žalosti je inteligentna.	
0	Sa lješnjacima? 🤔😮	
0	A koliko ono traktora su srbijanci dužni Hrvatima? 	
0	sve mi te nesto zao🤣🤣🤣	
0	"Google sada plaća $ 17000 do $ 22000 mjesečno za rad na mreži od kuće. Pridružio sam se ovom poslu prije 2 mjeseca i zaradio sam $ 20544 u prvom mjesecu od ovog posla. Mogu reći da je moj život promijenjen.

--------->>>> www.WebJob33.Com"	1
0	Bistri su ko mutna voda ... I ovakve instagram ženske i likovi,a isto i ovi koji komentiraju i prate slike od nekih žnj nebitnih instagram likova	
0	sami nam ih biraju	
0	Tužno i žalosno, šta drugo dodati..	
0	Uz ovakvu gospodu i nameštaj ide i služavka koja čisti , rasprema i dvori , dok gospođa uživa sa drugaricama na terasi uz kaficu . :-)))	
1	Gara je bi cuclao tvoju ciku😊😊😊	8
0	Nada zar ti mislis da ce migranti trazit pristanak da prave djecu sa hrvaCkim zenama?Oni samo skinu gace i ajmo.Nema to moljakanja i romantike.	1
