data	labels
Wenn Minister Listen haben, von Milliarden,die hinterhogen wurden, werden nicht ausgelesen! Datenschutz! Herr Maas ihr NetzDG? So bigott	OTHER
"""@waszumelden @MDRAktuell Ist doch kein """"schlimmer Rassismus"""" wenn er gegen Schonlängerhierlebende geht. Schliesslich muß man jede Chance nutzen, den Deutschen kleinzuhalten- """" nach DER Vergangenheit..."""""""	OFFENSE
@tagesschau Leiter des Verfassungsschutzes verbreitet ohne Beweise #FakeNews Damit hat er sich nach mehreren weiteren Ausfällen selbst disqualifiziert und ist nicht fähig, das GG zu schützen. Dieser Mensch muss von seinem Amt entfernt werden #Maassen	OTHER
@AuswaertigesAmt @RegSprecher Überall werden Millionen unserer Steuergelder veruntreut! Während zig Millionen in Deutschland fehlen um z. B. Armut und marode Infrastruktur zu bekämpfen!	OTHER
Leider können wir nicht auf den Hinweis verzichten, dass es ratsam ist einerseits rund um das Pogromnachts-Gedenken &amp; und andererseits generell heute in #Aachen die Augen offen zu halten &amp; etwaige #Neonazi-Umtriebigkeiten zu melden! #niewieder #naziwatchac #antifanrw	OTHER
"""Der Islam hat mit Gewalt zu tun"""", sagt der Islamwissenschaftler Dr. Abdel-Hakim Ourghi."	OTHER
Demokratie stößt bei dem von Merkel so gelobten #Multilateralismus in Konstrukten wie EU oder UN auf praktische Grenzen: Der Bürger weiß gar nicht mehr, wer für was der Urheber ist und wen er deshalb wählen oder abwählen kann. Er herrscht nur noch die Bürokratie des Superstaats.	OTHER
Jeder der den Koran verbrennt absoluter Ehrenmann	OFFENSE
Euer Abendessen vom zweiten Feiertag sieht ja auch eher so aus wie HINGEKOTZT UND HINGESCHISSEN!!! |LBR| Dann lieber GARNIX zu WEIHNACHTEN!!	OFFENSE
@pip_news Psssst. Es sind 4,83 € und nicht 1,45 € täglich.	OTHER
Wer schützt eigentlich psychisch Kranke Menschen vor pauschalen Vorurteilen?	OTHER
Harry Potter und die Hämorriden des Schreckens |LBR| Harry Potter und der Halbblut-FICKER |LBR| Harry Potter und der Gefangene im Darkroom |LBR| Ekelhaft.	OFFENSE
@Tjark_Limmer Wie einfältig ist eigentlich „für oder gegen Russland“?	OTHER
